lv_string_id	english	chinese	french	german	japanese	italian	spanish	russian
STR_QR_CONNECT_AP	First scan QR code Set AP network	请扫码连接本设备	Veuillez balayer le code \n pour connecter cet appareil	Scannen Sie zuerst den QR-Code. Stellen Sie das AP-Netzwerk ein	QRコードの初回スキャン APネットワークの設定	Prima scansiona il codice QR Imposta la rete AP	Primero escanee el código QR Configure la red AP	Первое сканирование QR-кода Настройка сети AP
STR_QR_SCAN_WIFI	Second scan QR code Set WiFi network	请扫码联网	Veuillez balayer \n le code réseau	Zweiter Scan des QR-Codes. WLAN-Netzwerk einrichten	2 回目の QR コードのスキャン WiFi ネットワークの設定	Seconda scansione del codice QR Imposta la rete WiFi	Segundo escaneo del código QR Establecer red WiFi	Второе сканирование QR-кода Установить сеть WiFi
STR_QR_CONFIG	Scan QR code Set device parameters	请扫码配置参数	s'il vous plaît balayez les \n paramètres de configuration du code	QR-Code scannen Geräteparameter einstellen	QRコードをスキャンしてデバイスパラメータを設定します	Scansiona il codice QR Imposta i parametri del dispositivo	Escanear código QR Establecer parámetros del dispositivo	Сканировать QR-код Установить параметры устройства
STR_WIFI_SCANNING	WiFi is scanning ...	WiFi正在扫描 ...	Le WiFi est scanné...	WLAN scannt ...	WiFi がスキャン中です...	Il WiFi sta scansionando...	WiFi está escaneando...	WiFi сканирует...
STR_WIFI_CONNECTING	WiFi is connecting ...	WiFi连接中 ...	Connexion WiFi en cours...	WLAN verbindet sich ...	Wi-Fiが接続中です...	Il Wi-Fi si sta connettendo...	WiFi se está conectando...	WiFi подключается...
STR_MIRA_CONNECTING	Miracast is connecting ...	同屏连接中 ...	Connexion android\ndans le même écran...	Miracast verbindet ...	ミラキャストが接続中です...	Miracast si connette...	Miracast se está\nconectando...	Miracast подключается...
STR_MIRA_CONNECT_OK	Miracast connect OK.	同屏连接成功	Connexion android\nmême écran avec succès	Miracast-Verbindung OK.	ミラキャスト接続OK。	Miracast si connette bene.	Miracast conecta bien.	Miracast подключается\nнормально.
STR_MIRA_GOT_IP_OK	Miracast is obtaining stream (%d) ....	Miracast 获取流中 (%d) ...	Miracast is obtaining stream (%d) ....					
STR_AIR_PLAY_MUSIC	Aircast is playing music	苹果同屏播放音乐	Musique sur le même écran d’apple	Aircast spielt Musik	エアキャストが音楽を再生しています	Aircast sta riproducendo musica	Aircast está reproduciendo música.	Aircast играет музыку
STR_INSERT_ANDROID_OR_APPLE	Please plug in android or apple device!	请插入苹果或者安卓设备!	Veuillez insérer un appareil apple ou android!	Bitte schließen Sie ein Android- oder Apple-Gerät an!	AndroidまたはAppleデバイスを接続してください。	Si prega di collegare il dispositivo Android o Apple!	¡Conecte el dispositivo Android o Apple!	Пожалуйста, подключите устройство Android или Apple!
STR_REINSERT_ANDROID_OR_APPLE	Please pull out and plug in android or apple device!	请拔出，再插入苹果或者安卓设备!	Veuillez débrancher et rebrancher votre appareil apple ou android!	Bitte ziehen Sie das Android- oder Apple-Gerät heraus und schließen Sie es an!	Android または Apple デバイスを抜き差ししてください。	Si prega di estrarre e collegare il dispositivo Android o Apple!	¡Saca y conecta el dispositivo Android o Apple!	Пожалуйста, вытащите и подключите устройство Android или Apple!
STR_PICTURE_MODE	Image Mode	图像模式	Mode Image	Bildmodus	画像モード	Modalità immagine	Modo de imagen	Режим изображения
STR_CONSTRAST	Contrast	对比度	Contraste	Kontrast	コントラスト	Contrasto	Contraste	Контраст
STR_HUE	Hue	色调	ton	Farbton	色相	Tinta	Matiz	оттенок
STR_BRIGHTNESS	Brightness	亮度	Luminosité	Helligkeit	輝度	Luminosità	Brillo	Яркость
STR_COLOR	Color	颜色	Couleur	Farbe	カラー	Colore	Color	Цвет
STR_SHARPNESS	Sharpness	清晰度	Clarté	Schärfe	鋭度	Nitidezza	Nitidez	Острота
STR_COLOR_TEMP	Color Temperature	色温	Température de Couleur	Farbtemperatur	色温度	Temperatura di Colore	Temperatura del Color	Цветовая температура
STR_SOUND_MODE	Sound Mode	声音模式	Sound Mode	Klangmodus	サウンドモード	Modalità audio	Modo de sonido	Звуковой режим
STR_TREBLE	Treble	高音	Tweeter	Verdreifachen	高音域	Acuti	Triplicar	ВЧ
STR_BASS	Bass	低音	Bass	Bass	ベース	Basso	Bajo	Бас
STR_BALANCE	Balance	平衡	Balance	Gleichgewicht	バランス	Bilancia	Balance	Баланс
STR_BT_NAME	Bluetooth	蓝牙	Bluetooth	Bluetooth	ブルートゥース	Bluetooth	Bluetooth	Bluetooth
